项目ID,请求专业类型,学校,学院,项目名称,标准项目名称,方向,项目类型,年份,录取分析标题,总成绩计算方式,分数段,拟录人数,进入复试人数,分段录取率,来源网站,更新时间
40400,MBA,南京邮电大学,南京邮电大学-南京市浦口区联合培养“浦芯精英”专项计划,(05)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),综合总成绩=（初试成绩÷3×0.7）+（复试成绩÷2.5×0.3）,151-159,1,1,0.0,MBA大师,2026-03-08 11:23:33
40400,MBA,南京邮电大学,南京邮电大学-南京市浦口区联合培养“浦芯精英”专项计划,(05)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),综合总成绩=（初试成绩÷3×0.7）+（复试成绩÷2.5×0.3）,151-159,0,2,0.0,MBA大师,2025-06-23 18:52:32
40400,MBA,南京邮电大学,南京邮电大学-南京市浦口区联合培养“浦芯精英”专项计划,(05)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),综合总成绩=（初试成绩÷3×0.7）+（复试成绩÷2.5×0.3）,151-159,0,2,0.0,MBA大师,2025-06-23 18:52:32
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,全日制,2025,MBA(全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,151-159,9,24,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,全日制,2025,MBA(全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,160-169,1,21,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,全日制,2025,MBA(全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,170-179,8,19,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,全日制,2025,MBA(全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,180-189,4,10,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,全日制,2025,MBA(全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,190-199,6,10,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,全日制,2025,MBA(全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,200-209,7,9,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,全日制,2025,MBA(全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,210-219,1,2,0.0,MBA大师,2026-03-08 11:23:33
