学校,学院,专业类型,招生人数,学费,城市,性质,项目ID,详情页,大学ID,大学名称,学院专业列表,学院招生年份
安徽师范大学,地理与旅游学院,MPA,非全日制:13人,3.3万-6.5万,安徽省芜湖市,,340,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=340,235,安徽师范大学,MPA、MTA,2026
安徽师范大学,法学院,MPA,非全日制:20人,3.3万-6.5万,安徽省芜湖市,,1877,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1877,235,安徽师范大学,MPA,2026
安徽财经大学,不区分院系所,MPA,非全日制:62人,2.2万-8.0万,"安徽省合肥市,蚌埠市",,328,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=328,236,安徽财经大学,MEM、MTA、MAud、MPAcc、MPA、MBA,2026
安徽理工大学,经济与管理学院,MPA,非全日制:58人,2.4万-6.0万,安徽省淮南市,,339,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=339,237,安徽理工大学,MPA、MEM、MBA,2026
安徽建筑大学,公共管理学院,MPA,非全日制:32人,3.3万-4.5万,安徽省合肥市,,1878,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1878,238,安徽建筑大学,MPA,2026
淮北师范大学,经济与管理学院,MPA,非全日制:30人,3.9万-4.8万,安徽省淮北市,,1879,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1879,239,淮北师范大学,MPA,2026
安徽中医药大学,医药经济管理学院,MPA,全日制:5人,4.5万,"安徽省合肥市,安徽省阜阳市",,157422,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157422,486,安徽中医药大学,MPA,2026
西北大学,MPA教育中心,MPA,非全日制:190人,3.9万-16.0万,陕西省西安市,"211,双一流",404,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=404,433,西北大学,MPA,2026
西安交通大学,公共政策与管理学院,MPA,非全日制:270人,8.2万-35.8万,陕西省西安市,"985,211,双一流",402,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=402,434,西安交通大学,MPA,2026
西北工业大学,公共政策与管理学院,MPA,非全日制:156人,2.4万-24.8万,陕西省西安市,"985,211,双一流",401,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=401,435,西北工业大学,MPA,2026
西安电子科技大学,经济与管理学院,MPA,非全日制:28人,2.4万-12.0万,陕西西安,"211,双一流",388,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=388,437,西安电子科技大学,MEM、MPA、MLIS、MBA,2025
西安建筑科技大学,公共管理学院,MPA,非全日制:115人,3.6万-8.6万,陕西省西安市,,409,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=409,439,西安建筑科技大学,MPA,2026
长安大学,人文学院,MPA,非全日制:109人,3.9万-11.8万,陕西省西安市,"211,双一流",405,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=405,444,长安大学,MPA,2026
西北农林科技大学,人文社会发展学院,MPA,非全日制:100人,6.0万-8.8万,陕西省西安市,"985,211,双一流",403,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=403,445,西北农林科技大学,MPA,2026
陕西师范大学,国家安全学院（政法与公共管理学院）,MPA,非全日制:80人,3.9万-12.4万,陕西省西安市,"211,双一流",408,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=408,446,陕西师范大学,MPA,2026
